categoria,nome,preco,link
YNGVAR,Chair,95,https://www.ikea.com/ie/en/p/yngvar-chair-anthracite-80417636/
STENSELE,"Table,",109,https://www.ikea.com/ie/en/p/stensele-table-anthracite-anthracite-s79288230/
JANINGE,Chair,45,https://www.ikea.com/ie/en/p/janinge-chair-yellow-60246080/
JANINGE,"Bar stool,",115,https://www.ikea.com/ie/en/p/janinge-bar-stool-grey-10281354/
STENSELE / RÖNNINGE,"Table and 2 chairs,",279,https://www.ikea.com/ie/en/p/stensele-roenninge-table-and-2-chairs-anthracite-anthracite-birch-s69297126/
TOMMARYD,"Table,",149,https://www.ikea.com/ie/en/p/tommaryd-table-white-stained-oak-veneer-white-s69387508/
STENSELE,"Table,",109,https://www.ikea.com/ie/en/p/stensele-table-anthracite-anthracite-s89323921/
TOMMARYD,"Table,",149,https://www.ikea.com/ie/en/p/tommaryd-table-white-s99387489/
BUSUNGE,"Wardrobe,",129,https://www.ikea.com/ie/en/p/busunge-wardrobe-white-20305707/
GODISHUS,"Wardrobe,",95,https://www.ikea.com/ie/en/p/godishus-wardrobe-white-50422494/
GODISHUS,"Chest of 3 drawers,",55,https://www.ikea.com/ie/en/p/godishus-chest-of-3-drawers-white-80433486/
SMÅGÖRA,"Wardrobe,",150,https://www.ikea.com/ie/en/p/smagoera-wardrobe-white-10460888/
SMÅGÖRA,"Shelf unit,",30,https://www.ikea.com/ie/en/p/smagoera-shelf-unit-white-30465489/
SLÄKT,"Storage box with castors,",60,https://www.ikea.com/ie/en/p/slaekt-storage-box-with-castors-white-80362974/
LÄTT,Children's table with 2 chairs,35,https://www.ikea.com/ie/en/p/laett-childrens-table-with-2-chairs-white-pine-50178411/
SMUSSLA,Bedside table/shelf unit,35,https://www.ikea.com/ie/en/p/smussla-bedside-table-shelf-unit-white-90469489/
DUNDRA,Activity table with storage,115,https://www.ikea.com/ie/en/p/dundra-activity-table-with-storage-white-grey-30472499/
SMÅSTAD,"Bench with toy storage,",99,https://www.ikea.com/ie/en/p/smastad-bench-with-toy-storage-white-white-s19389152/
LÄTT,Children's table with 2 chairs,35,https://www.ikea.com/ie/en/p/laett-childrens-table-with-2-chairs-white-pine-50178411/
SMUSSLA,Bedside table/shelf unit,35,https://www.ikea.com/ie/en/p/smussla-bedside-table-shelf-unit-white-90469489/
DUNDRA,Activity table with storage,115,https://www.ikea.com/ie/en/p/dundra-activity-table-with-storage-white-grey-30472499/
SMÅSTAD,"Bench with toy storage,",99,https://www.ikea.com/ie/en/p/smastad-bench-with-toy-storage-white-white-s19389152/
MAMMUT,"Children's table,",29,https://www.ikea.com/ie/en/p/mammut-childrens-table-in-outdoor-blue-90365180/
GODISHUS,"Wardrobe,",95,https://www.ikea.com/ie/en/p/godishus-wardrobe-white-50422494/
BERGIG,Book display with storage,115,https://www.ikea.com/ie/en/p/bergig-book-display-with-storage-white-00472702/
IKEA PS LÖMSK,Swivel armchair,69,https://www.ikea.com/ie/en/p/ikea-ps-loemsk-swivel-armchair-white-red-10407136/
FLISAT,"Children's table,",69,https://www.ikea.com/ie/en/p/flisat-childrens-table-50298418/
CIRKUSTÄLT,Children's tent,19,https://www.ikea.com/ie/en/p/cirkustaelt-childrens-tent-80342052/
PÅHL,"Desk top shelf,",25,https://www.ikea.com/ie/en/p/pahl-desk-top-shelf-white-10519501/
MAMMUT,Children's chair,15,https://www.ikea.com/ie/en/p/mammut-childrens-chair-in-outdoor-pink-80382321/
BUSUNGE,"Wardrobe,",129,https://www.ikea.com/ie/en/p/busunge-wardrobe-white-20305707/
TROFAST,"Storage combination,",85,https://www.ikea.com/ie/en/p/trofast-storage-combination-white-turquoise-s19329380/
MAMMUT,Children's chair,15,https://www.ikea.com/ie/en/p/mammut-childrens-chair-in-outdoor-blue-60365346/
SMÅSTAD / PLATSA,"Chest of 6 drawers,",215,https://www.ikea.com/ie/en/p/smastad-platsa-chest-of-6-drawers-white-white-s59387655/
TROFAST,"Frame,",80,https://www.ikea.com/ie/en/p/trofast-frame-light-white-stained-pine-60308695/
KRITTER,Children's chair,17,https://www.ikea.com/ie/en/p/kritter-childrens-chair-white-40153699/
SMÅSTAD / PLATSA,"Chest of 3 drawers,",111,https://www.ikea.com/ie/en/p/smastad-platsa-chest-of-3-drawers-white-white-s29420133/
SUNDVIK,"Children's table,",40,https://www.ikea.com/ie/en/p/sundvik-childrens-table-white-10201673/
TROFAST,"Storage combination with boxes,",40,https://www.ikea.com/ie/en/p/trofast-storage-combination-with-boxes-white-grey-s79330470/
BOLMEN,Step stool,7,https://www.ikea.com/ie/en/p/bolmen-step-stool-white-60265163/
TROFAST,"Storage combination with boxes,",74,https://www.ikea.com/ie/en/p/trofast-storage-combination-with-boxes-white-grey-s09328791/
SUNDVIK,Children's chair,19,https://www.ikea.com/ie/en/p/sundvik-childrens-chair-white-60196358/
POÄNG,Armchair,90,https://www.ikea.com/ie/en/p/poaeng-armchair-birch-veneer-knisa-light-beige-s99240789/
TULLSTA,Armchair,150,https://www.ikea.com/ie/en/p/tullsta-armchair-blekinge-white-s09289431/
POÄNG,Rocking-chair,125,https://www.ikea.com/ie/en/p/poaeng-rocking-chair-oak-veneer-knisa-light-beige-s29419460/
STRANDMON,Wing chair,250,https://www.ikea.com/ie/en/p/strandmon-wing-chair-skiftebo-yellow-40361896/
POÄNG,Armchair,90,https://www.ikea.com/ie/en/p/poaeng-armchair-birch-veneer-knisa-light-beige-s99240789/
TULLSTA,Armchair,150,https://www.ikea.com/ie/en/p/tullsta-armchair-blekinge-white-s09289431/
POÄNG,Rocking-chair,125,https://www.ikea.com/ie/en/p/poaeng-rocking-chair-oak-veneer-knisa-light-beige-s29419460/
STRANDMON,Wing chair,250,https://www.ikea.com/ie/en/p/strandmon-wing-chair-skiftebo-yellow-40361896/
EKENÄSET,Armchair,229,https://www.ikea.com/ie/en/p/ekenaeset-armchair-hillared-anthracite-10450511/
AGEN,Chair,70,https://www.ikea.com/ie/en/p/agen-chair-rattan-bamboo-50058376/
KLUBBFORS,Armchair,379,https://www.ikea.com/ie/en/p/klubbfors-armchair-gunnared-beige-00522269/
POÄNG,Armchair cushion,35,https://www.ikea.com/ie/en/p/poaeng-armchair-cushion-knisa-light-beige-40395146/
NOLMYRA,Easy chair,50,https://www.ikea.com/ie/en/p/nolmyra-easy-chair-birch-veneer-grey-10233532/
